Path,Maximum,0,5,10,20,30
50,2500.0,2500.0,2498.44,2493.79,2475.31,2444.54
100,10000.0,10000.0,9993.73,9974.82,9899.49,9774.82
150,22500.0,22500.0,22485.79,22443.24,22274.23,21993.0
200,40000.0,40000.0,39974.74,39899.17,39598.28,39101.98
250,62500.0,62500.0,62460.42,62342.43,61868.22,61094.17
300,90000.0,90000.0,89943.22,89772.19,89093.35,87967.54
350,122500.0,122500.0,122422.45,122190.55,121264.75,119735.42
400,160000.0,160000.0,159899.01,159595.16,158387.74,156388.99
450,202500.0,202500.0,202371.86,201987.88,200455.34,197917.72
500,250000.0,250000.0,249841.65,249367.92,247474.18,244351.24
550,302500.0,302500.0,302308.32,301733.1,299441.42,295678.56
600,360000.0,360000.0,359771.86,359087.26,356364.5,351882.47
650,422500.0,422500.0,422232.75,421429.65,418235.37,412945.25
700,490000.0,490000.0,489689.38,488760.42,485047.15,478922.54
750,562500.0,562500.0,562143.31,561076.61,556814.74,549776.37
800,640000.0,640000.0,639594.63,638379.06,633533.45,625537.62
850,722500.0,722500.0,722042.4,720667.2,715195.86,706170.9
900,810000.0,810000.0,809486.34,807945.06,801817.41,791677.61
950,902500.0,902500.0,901928.74,900217.43,893381.48,882098.2
1000,1000000.0,1000000.0,999367.09,997466.42,989905.8,977396.66
